icao,name,manufacturer,type,apc,wtc,recat_eu,mtow_kg,v2_ias_kts,takeoff_distance_m,initial_climb_ias_kts,initial_climb_roc_ftmin,climb_fl150_ias_kts,climb_fl150_roc_ftmin,climb_fl240_ias_kts,climb_fl240_roc_ftmin,mach_climb_mach,mach_climb_roc_ftmin,cruise_tas_kt,cruise_mach,cruise_ceiling_fl,range_nm,init_descent_mach,init_descent_rod_ftmin,descent_fl100_ias_kt,descent_fl100_rod_ftmin,approach_ias_kt,approach_rod_ftmin,approach_mcs_kt,vat_ias_kt,landing_distance_m,wing_span_m,length_m,height_m,power_plant,wing_position,engine_position,tail_configuration,landing_gear,iata
T134,,,L2J,D,M,Lower Medium,47600,150,2200,180,2000,180,2000,180,2000,0.70,2000,400,0.70,,1025,0.70,800,180,800,180,800,180,150,2200,29,37.1,9.1,"134: 2 x 64,9 KN Soloviev D-30 turbofans. 134A: 2 x 68 kN Soloviev D-30-II turbofans.",Low wing (anhedral with cone),Both sides of rear fuselage,T-tail,Tricycle retractable,TU3
T154,,,L3J,C,M,Upper Medium,100000,150,2100,180,3000,180,3000,180,3000,0.72,3000,475,0.72,,1700,0.72,800,180,800,180,800,220,130,2100,37.5,48,11.4,"154: 3 x 93,9 KN Kuznetsov Nk-8-2 turbofans. 154M: 3 x 104 KN Soloviev D-30KU-154-II turbofans.",Low wing (anhedral with cone),Both sides of rear fuselage and fin-integrated,T-tail,Tricycle retractable,TU5
T204,,,L2J,C,M,Upper Medium,103000,160,2050,180,3500,180,3500,180,3500,0.72,3500,450,0.72,,5000,0.72,800,180,800,180,800,210,140,2050,42,41,13.9,204-200: 2 x 157 KN Soloviev PS-90A turbofans. 204-220: 2 x 193 KN R-R RB211-535E4 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,T20
T22M,,,L2J,E,M,Lower Heavy,126000,200,2000,230,6000,230,6000,230,6000,0.79,6000,490,0.79,,3800,0.79,800,230,800,230,800,,185,2000,34.3,42.5,11.1,"2 x 245,2 KN Kuznetsov NK-25 afterburning turbofans.",Low swing wing,In fuselage,"Regular tail, low set",Tricycle retractable,
T37,,,L2J,B,L,Light,2980,90,650,120,3300,120,3300,120,3300,0.60,3300,400,0.60,,800,0.60,5000,120,5000,120,5000,,95,650,11.7,9.8,2.8,"2 x 4,56 kN Continental J69-T-25 turbojets.",Low wing,In wing mounted,Cruciform tail,Tricycle retractable,
T38,,,L2J,D,L,Light,5670,125,800,155,33000,155,33000,155,33000,0.74,33000,450,0.74,,950,0.74,10000,155,10000,155,10000,230,160,800,7.7,14.1,3.9,"2 x 17,1 KN GE J85-GE-5 afterburning turbojets.",Low wing,Both sides of fuselage,"Regular tail, low set",Tricycle retractable,
TAMP,,,L1P,A,L,Light,1060,70,400,100,600,100,600,100,600,,600,120,,,450,,500,100,500,100,500,70,65,400,9.9,7.7,3,1 x 160 HP Lycoming O-320-A1D2A piston engine with 2 blade propeller.,Low wing,Nose mounted,"Regular tail, high set",Tricycle fixed,
TB30,,,L1P,A,L,Light,1250,80,400,110,1800,110,1800,110,1800,,1800,190,,,700,,800,110,800,110,800,85,80,400,7.9,7.6,2.7,1 x 300 HP Lycoming AEIO-540-L1B5D piston engine with 2 blade propeller.,Low wing,Nose mounted,"Regular tail, mid set",Tricycle retractable,
TBM7,,,L1T,A,L,Light,3000,85,650,115,2000,115,2000,115,2000,0.46,2000,290,0.46,,900,0.46,1500,115,1500,115,1500,,80,650,12.2,10.4,4.2,1 x 700 SHP P&W PT6A-64 turboprop with 4 blade propeller.,Low wing,Nose mounted,"Regular tail, mid set",Tricycle retractable,
TBM8,,,L1T,B,L,Light,3353,110,870,160,2400,160,2400,160,2400,0.66,2400,300,0.66,,1520,0.66,1000,160,1000,160,1000,115,95,870,12.2,10.4,4.2,1 x P&W PT6A-66D engine flat rated at 850 shp (634 kW),Low wing,Nose mounted,"Regular tail, low set",Tricycle retractable,
TOBA,,,L1P,A,L,Light,1150,70,400,85,600,85,600,85,600,,600,100,,,530,,500,85,500,85,500,75,65,400,9.9,7.7,3,1 x 180 HP Lycoming O-360-A1AD piston engine with 2 blade propeller.,Low wing,Nose mounted,"Regular tail, high set",Tricycle fixed,
TOR,,,L2J,D,M,Lower Medium,28000,160,900,190,15000,190,15000,190,15000,0.80,15000,420,0.80,,1600,0.80,10000,190,10000,190,10000,,145,900,13.9,18.7,6,2 x 71.5kN Turbounion RB199-34 R afterburning turbofans.,High swing wing,In fuselage,"Regular tail, mid set",Tricycle retractable,
TRIN,,,L1P,A,L,Light,1400,80,550,110,1200,110,1200,110,1200,,1200,140,,,900,,500,110,500,110,500,80,70,550,10,7.7,2.9,TB-20: 1 x 250 HP Lycoming IO-540-C4D5D piston engine with 2 blade propeller. TB-21: 1 x 250 HP Lycoming TIO-540-AB1AD turbocharged piston engine with 2 blade propeller.,Low wing,Nose mounted,"Regular tail, high set",Tricycle retractable,
TUCA,,,L1T,A,L,Light,3175,85,700,115,2600,115,2600,115,2600,,2600,220,,,1000,,1000,115,1000,115,1000,,90,700,11.1,9.9,3.4,EMB-312/T-27: 1 x 750 SHP P&WC PT6A-25C turboprop with 3 blade propeller. S-321: 1 x 1.100 SHP Garrett TPE331-12 turboprop with 3 blade propeller. EMB-312H: 1 x 1.250 SHP P&W PT6A-68 turboprop with 5 blade propeller.,Low wing,Nose mounted,"Regular tail, high set",Tricycle retractable,
UH1,,,H1T,A,L,Light,4309,,,60,1755,60,1755,60,1755,,1755,110,,,275,,1200,60,1200,60,1200,,40,,14.63,17.4,4.39,"1 × Lycoming T53-L-11 turboshaft, 1,100 shp (820 kW)",Two-blade main rotor,Above cabin,Two-blade tail rotor,Skids,
VC10,,,L4J,D,H,Lower Heavy,146500,145,2500,175,2300,175,2300,175,2300,0.78,2300,480,0.78,,4300,0.78,800,175,800,175,800,230,150,2500,44.6,52.3,12.1,K2/K3: 4 x 98.8 kN R-R Conway CR 6043D (Mk550D) turbofans. C1: 4 x 97.0 kN R-R Conway Rco. 43 Mk 301 turbofans.,Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,
YK40,,,L3J,B,M,Lower Medium,16000,110,700,130,1300,130,1300,130,1300,,1300,245,,,1000,,800,130,800,130,800,170,120,700,25,20.4,6.5,"3 x 14.7 KN Ivchenko AI-25 turbofans. 40TL: 2 x 31,1 KN Lycoming LF507-1N turbofans.",Low wing (straight),Both sides of rear fuselage and fin-integrated,T-tail,Tricycle retractable,YK4
YK42,,,L3J,C,M,Upper Medium,63000,130,1500,160,2500,160,2500,160,2500,0.70,2500,400,0.70,,2500,0.70,800,160,800,160,800,180,130,1500,34.9,36.4,9.8,3 x 73.6 KN ZMKB Progress D-36 turbofans.,Low wing,Both sides of rear fuselage and fin-integrated,T-tail,Tailwheel retractable,YK2
